x,y,z
8.199999809265137,494.4666666984558,c
11.199999809265137,493.4666666984558,c
12.199999809265137,492.4666666984558,c
13.199999809265137,492.4666666984558,c
16.200000762939453,492.4666666984558,c
19.200000762939453,492.4666666984558,c
23.200000762939453,492.4666666984558,c
29.200000762939453,492.4666666984558,c
32.20000076293945,492.4666666984558,c
35.20000076293945,492.4666666984558,c
38.20000076293945,492.4666666984558,c
40.20000076293945,492.4666666984558,c
42.20000076293945,492.4666666984558,c
44.20000076293945,492.4666666984558,c
45.20000076293945,492.4666666984558,c
48.20000076293945,492.4666666984558,c
50.20000076293945,492.4666666984558,c
55.20000076293945,492.4666666984558,c
58.20000076293945,493.4666666984558,c
64.19999694824219,494.4666666984558,c
66.19999694824219,495.4666666984558,c
67.19999694824219,495.4666666984558,c
68.19999694824219,495.4666666984558,c
70.19999694824219,495.4666666984558,c
71.19999694824219,495.4666666984558,c
72.19999694824219,495.4666666984558,c
74.19999694824219,495.4666666984558,c
76.19999694824219,496.4666666984558,c
79.19999694824219,497.4666666984558,c
80.19999694824219,497.4666666984558,c
83.19999694824219,497.4666666984558,c
87.19999694824219,499.46666663885117,c
92.19999694824219,499.46666663885117,c
95.19999694824219,499.46666663885117,c
97.19999694824219,499.46666663885117,c
99.19999694824219,499.46666663885117,c
100.19999694824219,499.46666663885117,c
103.19999694824219,499.46666663885117,c
106.19999694824219,499.46666663885117,c
108.19999694824219,500.4666666686535,c
109.19999694824219,500.4666666686535,c
115.19999694824219,501.4666666984558,c
1.2000000476837158,318.46665954589844,c
1.2000000476837158,317.46665954589844,c
1.2000000476837158,316.46665954589844,c
1.2000000476837158,315.46665954589844,c
1.2000000476837158,313.46665954589844,c
2.200000047683716,305.46665954589844,c
2.200000047683716,299.46665954589844,c
2.200000047683716,294.46665954589844,c
2.200000047683716,289.46665954589844,c
2.200000047683716,285.46665954589844,c
2.200000047683716,280.46665954589844,c
2.200000047683716,277.46665954589844,c
2.200000047683716,272.46665954589844,c
1.2000000476837158,269.46665954589844,c
0.20000000298023224,264.46665954589844,c
